432780 Sector 3  141596 6.12008 0.662669
432780 Sector 4  166055 0.949426 0.63237
432780 Sector 5  190828 1.68662 0.52126
432780 Sector 6  189830 -0.891743 1.09596
432780 Sector 7  578070 -1.37451 1.19896
432866 Sector 0  39084.4 5.87645 0.537273
432866 Sector 1  38220.7 5.83956 0.542546
432866 Sector 2  37092 6.01657 0.560224
432866 Sector 3  29177.3 5.9532 0.663188
432866 Sector 4  33187.6 0.791194 0.659617
432866 Sector 5  39897.9 1.55309 0.526028
432866 Sector 6  50455.8 -0.0478856 1.0846
432866 Sector 7  119826 -0.484887 1.22969
432872 Sector 0  187717 6.2363 0.554673
432872 Sector 1  179789 6.18128 0.569685
432872 Sector 2  174457 6.35703 0.592843
432872 Sector 3  135157 6.30056 0.707648
432872 Sector 4  154012 1.12431 0.713126
432872 Sector 5  188730 1.89402 0.551777
432872 Sector 6  196564 0.316804 1.18365
432872 Sector 7  473822 -0.0967392 1.27937
432873 Sector 0  184198 6.05543 0.56705
432873 Sector 1  181638 5.98388 0.546942
432873 Sector 2  173305 6.18908 0.595955
432873 Sector 3  135687 6.14763 0.712137
432873 Sector 4  157949 0.952677 0.681874
432873 Sector 5  189321 1.73043 0.538725
432873 Sector 6  188465 0.069718 1.21785
432873 Sector 7  467711 -0.306139 1.31367
432874 Sector 0  169419 5.9624 0.530705
432874 Sector 1  165362 5.91027 0.525083
432874 Sector 2  157764 6.10317 0.571398
432874 Sector 3  128278 6.02032 0.646221
432874 Sector 4  145254 0.93102 0.647297
432874 Sector 5  170693 1.65792 0.525213
432874 Sector 6  149543 0.0693044 1.27532
432874 Sector 7  431002 -0.207075 1.34603
432875 Sector 0  151226 6.06648 0.540858
432875 Sector 1  150356 5.99212 0.520005
432875 Sector 2  142996 6.20352 0.566764
432875 Sector 3  115623 6.15889 0.661905
432875 Sector 4  135614 1.04626 0.620978
432875 Sector 5  154301 1.76574 0.516314
432875 Sector 6  145363 0.176764 1.2508
432875 Sector 7  509612 -0.0519536 1.25854
432881 Sector 0  115858 6.00875 0.533377
432881 Sector 1  110570 5.98308 0.546799
432881 Sector 2  105723 6.18614 0.592901
432881 Sector 3  84528.4 6.10594 0.686794
432881 Sector 4  97458.9 0.994655 0.671613
432881 Sector 5  116007 1.71654 0.530337
432881 Sector 6  135871 0.188588 1.19209
432881 Sector 7  303412 -0.203968 1.35055
432883 Sector 0  178923 6.20897 0.54634
432883 Sector 1  169288 6.17094 0.565054
432883 Sector 2  165222 6.36157 0.583298
432883 Sector 3  131822 6.2886 0.679104
432883 Sector 4  151283 1.20084 0.669611
432883 Sector 5  177259 1.93696 0.552912
432883 Sector 6  196566 0.431879 1.1894
432883 Sector 7  442256 0.106154 1.3841
432884 Sector 0  210168 6.16115 0.555927
432884 Sector 1  203121 6.12412 0.557815
432884 Sector 2  196815 6.2969 0.580203
432884 Sector 3  152072 6.24147 0.703424
432884 Sector 4  175731 1.1156 0.68534
432884 Sector 5  211169 1.85798 0.548743
